longitude,latitude,fakulte,ndbi_nearest,ndbi_bilinear
27.205192100656312,38.36771530165139,Guzel Sanatlar,0.18004988,0.15692307
27.205306572557117,38.36771510125887,Guzel Sanatlar,0.11814745,0.13750866
27.205421044456784,38.367714900754585,Guzel Sanatlar,0.29614696,0.26794034
27.20553551635531,38.36771470013854,Guzel Sanatlar,0.23844178,0.23500322
27.205649988252706,38.36771449941074,Guzel Sanatlar,0.113790505,0.10689197
27.205764460148956,38.36771429857117,Guzel Sanatlar,0.08816492,0.09845314
27.20587893204407,38.367714097619846,Guzel Sanatlar,0.17126873,0.16158481
27.205993403938038,38.36771389655676,Guzel Sanatlar,0.056315105,0.061356645
27.206107875830867,38.3677136953819,Guzel Sanatlar,0.035440613,0.045346815
27.206222347722555,38.36771349409529,Guzel Sanatlar,-0.0013856813,-0.014664587
27.20404763462993,38.367807422198396,Guzel Sanatlar,0.020311013,0.019377382
27.20416210668403,38.367807222922856,Guzel Sanatlar,0.036261078,0.001669449
27.204276578736998,38.367807023535555,Guzel Sanatlar,0.034763314,0.023203593
27.204391050788836,38.36780682403649,Guzel Sanatlar,0.043445833,0.01459854
27.20450552283954,38.36780662442566,Guzel Sanatlar,0.060513556,0.019673973
27.204619994889114,38.367806424703076,Guzel Sanatlar,-0.032437745,-0.06434724
27.204734466937552,38.36780622486872,Guzel Sanatlar,-0.0031598203,-0.03910422
27.204848938984856,38.3678060249226,Guzel Sanatlar,-0.016086672,-0.07502605
27.204963411031027,38.36780582486473,Guzel Sanatlar,0.003815176,0.008647964
27.20507788307606,38.367805624695094,Guzel Sanatlar,0.23108916,0.20824412
27.20519235511996,38.36780542441369,Guzel Sanatlar,0.23653525,0.2434663
27.205306827162723,38.367805224020536,Guzel Sanatlar,0.053204067,0.08792711
27.205421299204342,38.36780502351561,Guzel Sanatlar,0.20185308,0.18678355
27.205535771244833,38.36780482289892,Guzel Sanatlar,0.2544324,0.2670892
27.20565024328418,38.36780462217047,Guzel Sanatlar,0.21709691,0.21510394
27.20576471532239,38.36780442133026,Guzel Sanatlar,0.18305224,0.20288983
27.205879187359457,38.36780422037828,Guzel Sanatlar,0.36068937,0.3448276
27.205993659395386,38.367804019314555,Guzel Sanatlar,0.08242206,0.08674464
27.20610813143017,38.36780381813906,Guzel Sanatlar,0.08410646,0.066066995
27.206222603463814,38.367803616851795,Guzel Sanatlar,0.052413996,0.017903596
27.206337075496318,38.36780341545278,Guzel Sanatlar,0.0137551585,0.024157876
27.204047887675138,38.36789754496573,Guzel Sanatlar,0.024374701,0.056249037
27.204162359871198,38.36789734568954,Guzel Sanatlar,-0.0027915633,0.0069113807
27.20427683206612,38.3678971463016,Guzel Sanatlar,-0.028472222,0.011843203
27.204391304259918,38.36789694680189,Guzel Sanatlar,-0.0151355155,0.0101252785
27.204505776452578,38.36789674719043,Guzel Sanatlar,0.059182208,0.06853693
27.20462024864411,38.3678965474672,Guzel Sanatlar,-0.016486261,-4.9172266E-4
27.20473472083451,38.367896347632204,Guzel Sanatlar,0.07112223,0.08194984
27.204849193023772,38.36789614768545,Guzel Sanatlar,0.10305484,0.09185765
27.2049636652119,38.367895947626934,Guzel Sanatlar,-0.053178728,0.0026505112
27.20507813739889,38.36789574745665,Guzel Sanatlar,0.07906129,0.09453405
27.205192609584742,38.367895547174605,Guzel Sanatlar,0.24239889,0.2603486
27.205307081769465,38.367895346780806,Guzel Sanatlar,-0.0033564556,0.027120851
27.205421553953048,38.36789514627523,Guzel Sanatlar,0.11753846,0.09526814
27.20553602613549,38.367894945657895,Guzel Sanatlar,0.2628651,0.26980484
27.205650498316796,38.367894744928805,Guzel Sanatlar,0.33643124,0.33255434
27.20576497049696,38.36789454408795,Guzel Sanatlar,0.22330923,0.23948355
27.205879442675986,38.367894343135326,Guzel Sanatlar,0.21598826,0.1899981
27.205993914853874,38.36789414207095,Guzel Sanatlar,0.048703354,0.042038217
27.206108387030618,38.36789394089481,Guzel Sanatlar,0.057566766,0.029784635
27.206222859206218,38.367893739606906,Guzel Sanatlar,0.07576215,0.03937255
27.204162613059495,38.367987468454835,Guzel Sanatlar,0.11804575,0.07274347
27.20427708539638,38.367987269066255,Guzel Sanatlar,0.0074487897,0.014787431
27.204391557732134,38.367987069565906,Guzel Sanatlar,0.02107581,0.007019783
27.204506030066753,38.3679868699538,Guzel Sanatlar,0.089920945,0.073129825
27.204620502400243,38.36798667022993,Guzel Sanatlar,0.04335488,0.0295858
27.204734974732595,38.36798647039429,Guzel Sanatlar,0.08685601,0.07571452
27.20484944706382,38.3679862704469,Guzel Sanatlar,0.09371884,0.0656159
27.2049639193939,38.36798607038774,Guzel Sanatlar,0.021105878,0.0156112965
27.205078391722854,38.36798587021681,Guzel Sanatlar,0.11909769,0.072463766
27.205192864050666,38.36798566993412,Guzel Sanatlar,0.29873773,0.3182438
27.205307336377345,38.367985469539676,Guzel Sanatlar,0.22584061,0.24268325
27.205421808702884,38.36798526903346,Guzel Sanatlar,0.15697551,0.13787846
27.205536281027285,38.367985068415486,Guzel Sanatlar,0.12138728,0.13125128
27.20565075335055,38.36798486768575,Guzel Sanatlar,0.099589705,0.087507084
27.20576522567267,38.367984666844244,Guzel Sanatlar,0.025391305,0.026914395
27.20587969799366,38.367984465890984,Guzel Sanatlar,-0.020462485,-0.009379628
27.204162866248925,38.36807759121874,Guzel Sanatlar,0.098196946,0.07746878
27.204277338727767,38.368077391829516,Guzel Sanatlar,-0.0026117684,0.025097102
27.20439181120548,38.368077192328535,Guzel Sanatlar,0.02107581,0.0241455
